名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
好白商店,https://www.dianping.com/shop/H2YRpOwVelsPsxLd,金航中路3号天竺万科D座一楼110-2号底商,[北京],"116.548071,40.066589",64061837,2019/10/26 21:34,30.55 km,52 min,32.55 km,97 min,28.94 km,79 min
面包会有的,https://www.dianping.com/shop/G4cakyJpxEIjHmpA,幸福村中路55-3号杰座大厦底商（渝信川菜工体店对面）,[北京],"116.445720,39.936276",13051980596,2019/10/26 21:32,27.74 km,44 min,25.29 km,85 min,21.71 km,68 min
ZAZA CAKERY,https://www.dianping.com/shop/H2mAaIHj8ueKOu6c,东二环银河sohoB座2层20207,[北京],"116.435829,39.906106",17801381618,2019/10/26 21:26,24.37 km,49 min,26.84 km,101 min,23.27 km,80 min
一森家厨·臭鳜鱼,https://www.dianping.com/shop/k2s8loW9aAKAYm19,东五环草场地280号,[北京],"116.505870,39.995229",64313653,2019/10/26 20:16,25.79 km,51 min,27.80 km,98 min,24.18 km,79 min
就三桌涮肉馆,https://www.dianping.com/shop/G6Vi8vnu7WesYLR2,北五环草场地艺术区114号村委会西,[北京],"116.505838,39.998326",64360667,2019/10/26 20:15,24.21 km,50 min,26.22 km,96 min,22.60 km,77 min
adore原创手工艺礼物商店,https://www.dianping.com/shop/l8ov9AHRcD24itMN,北五环草场地村114号（老菜市场、就三桌涮肉馆旁边）,[北京],"116.505862,39.998262",17611766508,2019/10/26 20:03,24.22 km,50 min,26.22 km,96 min,22.61 km,77 min
毋米粥海鲜火锅,https://www.dianping.com/shop/FbboZ0FEyW0vcwML,朝阳门内大街75号院佳龙酒店B座首层毋米粥餐厅,[北京],"116.430253,39.925047",64658122,2019/10/26 20:01,22.65 km,42 min,25.13 km,97 min,21.55 km,71 min
馅老满,https://www.dianping.com/shop/l2gp8LTnCv5XDk9v,安定门内大街252号,[北京],"116.408655,39.943125",64046944,2019/10/26 15:33,18.95 km,36 min,21.42 km,77 min,17.84 km,55 min
新民菜市场,https://www.dianping.com/shop/l3mnvfnHU5FgKHhQ,旧鼓楼外大街68号,[北京],"116.394171,39.949811",82081977,2019/10/26 15:30,16.14 km,30 min,18.61 km,62 min,15.03 km,43 min
张桥增年肉夹馍,https://www.dianping.com/shop/k3w9GsDOfrEtEkiU,张桥初级中学东侧100米路南,[富平县],"109.167821,34.738687",15129919469,2019/10/25 20:19,,,,,,
Ling Long,https://www.dianping.com/shop/G7rIp3ZLgyw2NZ5x,三里屯街道工体北路2号兆龙饭店3层,[北京],"116.460433,39.933233",86355109,2019/10/25 20:06,23.01 km,44 min,25.48 km,93 min,21.91 km,73 min
我与地坛THECORNER.,https://www.dianping.com/shop/G9HQEbfh2ZTC58yc,和平里南街地坛东门向东100米路南B+修车铺西侧,[北京],"116.420335,39.953895",84216662,2019/10/19 11:02,18.97 km,36 min,21.44 km,74 min,17.86 km,56 min
实成吉烧饼铺,https://www.dianping.com/shop/k84jMsDayUX6ej1u,东四六条40号-2,[北京],"116.422504,39.930242",18601295038,2019/10/19 11:00,20.03 km,43 min,22.50 km,88 min,18.93 km,64 min
Solitary Coffee,https://www.dianping.com/shop/G3q0pksEqqEUcEsJ,铸钟胡同60号,[北京],"116.391855,39.941891",,2019/10/19 11:00,16.32 km,30 min,18.79 km,64 min,15.22 km,45 min
1/4 ONE QUARTER COFFEE LAB,https://www.dianping.com/shop/G83JymMMX2O86C7w,东四六条胡同85号,[北京],"116.858871,40.374390",13810483229,2019/10/19 10:59,78.52 km,79 min,86.09 km,96 min,76.91 km,107 min
Cafe Duet 二重奏·西餐·咖啡厅,https://www.dianping.com/shop/l6SWKxbv5CamHtXt,十字坡街8号铂晶豪庭底商117（五十五中北门旁边）,[北京],"116.439516,39.938462",18518224226,2019/10/19 10:59,21.78 km,40 min,24.25 km,93 min,20.68 km,63 min
il gatto coffee意咖多咖啡,https://www.dianping.com/shop/H87LtG03aViVFIDg,秀水东街1号圭亚那大使馆马路对面,[北京],"116.448782,39.915969",13810466993,2019/10/19 10:58,26.42 km,56 min,28.89 km,105 min,25.31 km,87 min
S.O.E COFFEE,https://www.dianping.com/shop/l4BKNdlqR0ukHUIJ,团结湖路白家庄东里23号枫湾团结湖办公社区一层,[北京],"116.455074,39.920428",15300242004,2019/10/19 10:57,25.16 km,51 min,27.63 km,100 min,24.06 km,82 min
彼德墨西哥餐厅,https://www.dianping.com/shop/kaowssJUVP5cAYjn,望京西路41号梦秀广场4楼24-25号,[北京],"116.456775,39.994749",64799890,2019/10/18 19:36,19.17 km,33 min,21.18 km,79 min,17.56 km,60 min
常赢三兄弟·清真涮肉,https://www.dianping.com/shop/k5AzH37TrykE9J8Y,常营中路12号东商业楼一层04号,[北京],"116.585548,39.928127",18810966813,2019/10/18 19:07,33.47 km,66 min,35.48 km,112 min,31.86 km,90 min
麦家小馆·烤羊肉·精酿啤酒,https://www.dianping.com/shop/jV9YrvIWVlYi4a57,学清路23号院汉华世纪大厦F1层,[北京],"116.350494,40.010841",60606817,2019/10/18 19:04,7.60 km,21 min,10.54 km,45 min,6.50 km,28 min
AL Safir阿拉伯餐厅,https://www.dianping.com/shop/l4T9mjuHl8TrFaUZ,霄云路35号（远洋新干线美食街35号6-12铺、近三元东桥）,[北京],"116.459164,39.954326",13717933385,2019/10/18 19:03,20.46 km,35 min,22.93 km,77 min,19.35 km,59 min
波尔塔20西班牙餐厅,https://www.dianping.com/shop/GajDEiuvUjWJ6STL,罗马湖左堤路8号波尔塔二十西班牙餐厅,[北京],"116.515844,40.101396",80425396,2019/10/18 19:02,30.24 km,52 min,32.24 km,100 min,28.63 km,80 min
日上三甘,https://www.dianping.com/shop/k9AU8qxHEu9jxfqH,工人体育场北路三里屯SOHO一号商场5层,[北京],"116.453502,39.932257",65871528,2019/10/13 19:47,22.57 km,40 min,25.04 km,100 min,21.46 km,70 min
伊藤洋华堂,https://www.dianping.com/shop/k9e2t0AIQRjd4GVX,北四环东路108号,[北京],"116.420507,39.988041",64910099,2019/10/9 1:21,18.32 km,27 min,17.16 km,68 min,13.58 km,57 min
大槐树烤肉馆,https://www.dianping.com/shop/iK1vybZuH53APu9S,景山街道美术馆东街23号（美术馆东街与五四大街交叉口西北角）,[北京],"116.406849,39.924610",84011960,2019/10/5 12:15,19.30 km,41 min,21.77 km,83 min,18.20 km,63 min
老磁器口豆汁店,https://www.dianping.com/shop/G4OOBH9Pee6XWuKP,北芳古路芳群园4区19号楼,[北京],"116.429267,39.858881",87526090,2019/10/5 12:12,32.36 km,48 min,35.06 km,103 min,32.99 km,81 min
茶汤李京味餐厅,https://www.dianping.com/shop/k5yEkJU8ohY5Cafg,和平里七区三十号楼底商,[北京],"116.423074,39.959805",64279255,2019/10/5 12:11,18.15 km,35 min,20.62 km,73 min,17.04 km,56 min
烤肉刘,https://www.dianping.com/shop/k8VVfgvU7glWNWMA,阡儿胡同41号,[北京],"116.387891,39.887793",63013492,2019/10/5 12:09,25.92 km,50 min,25.05 km,98 min,21.64 km,79 min
墨香菜煎饼,https://www.dianping.com/shop/H5f73CT5THbabnHo,大屯路36号,[北京],"116.376070,40.001330",13616329002,2019/10/5 12:08,9.61 km,24 min,11.96 km,51 min,8.34 km,30 min
金钟烤肉城,https://www.dianping.com/shop/EmuQLNGldrFncuIj,八里庄街道朝阳路慈云寺12号楼甲(上巢酒店对面),[北京],"116.482973,39.914862",65041355,2019/10/5 12:07,30.70 km,57 min,31.88 km,111 min,28.27 km,95 min
李小老烧饼,https://www.dianping.com/shop/k8AXonfV4W0foYVe,常营地区常营民族家园1号内10-11号房(近清真寺北墙),[北京],"116.572485,39.914912",65484200,2019/10/5 12:07,32.90 km,69 min,34.91 km,118 min,31.29 km,95 min
东北串串香铁板烧,https://www.dianping.com/shop/H9QjQHkJsHqDQGT5,化工路垡头西里24号楼一楼,[北京],"116.511619,39.863968",15726629121,2019/10/5 12:05,37.69 km,69 min,38.44 km,123 min,34.83 km,111 min
拾久,https://www.dianping.com/shop/GaLvmTNhT80CWTEO,东三环中路辅路与光华北一街交口第一家、麦乐迪对面,[北京],"116.460797,39.899043",87774188,2019/10/3 11:39,26.71 km,57 min,29.18 km,107 min,25.61 km,89 min
泓0871臻选云南菜,https://www.dianping.com/shop/l3DBZMWaKcU0BmaV,双树路E9区创新工场6号楼,[北京],"116.596039,39.884753",65724306,2019/10/3 11:34,39.26 km,74 min,41.26 km,133 min,37.65 km,110 min
DADA酒吧,https://www.dianping.com/shop/l8VmoR1z6g0jyLfM,南营房胡同日坛国际贸易中心A座北门B1,[北京],"116.441524,39.920212",18311080818,2019/10/3 11:13,23.47 km,46 min,25.94 km,104 min,22.37 km,76 min
postpost,https://www.dianping.com/shop/G8YkcgQ07Up4xlna,羊肉胡同58号,[北京],"116.369041,39.922646",18500591816,2019/10/3 11:11,20.06 km,38 min,21.15 km,82 min,17.57 km,61 min
Soloist 独奏公司,https://www.dianping.com/shop/G8m9OqPdrNIUfnV0,杨梅竹斜街39号,[北京],"116.392960,39.895942",83197103,2019/10/3 11:11,25.72 km,47 min,24.94 km,96 min,21.65 km,79 min
春风习习,https://www.dianping.com/shop/k4npFqzBVqLqgcDC,长巷五条19号3幢1层,[北京],"116.403987,39.895145",13020094062,2019/10/3 11:04,26.51 km,55 min,25.11 km,99 min,21.53 km,80 min
单向空间,https://www.dianping.com/shop/jHPohN5THjdFeh73,驼房营南里甲6号东风艺术区北区4-1号,[北京],"116.508479,39.961315",84309585,2019/10/3 11:03,29.13 km,63 min,31.13 km,106 min,27.52 km,83 min
Cafe Clark,https://www.dianping.com/shop/k68QzZ7PpO688bhj,平房地区青年路29号华纺易城小区19-02号底商（近润枫水尚）,[北京],"116.512231,39.928795",58710501,2019/10/3 10:36,31.08 km,65 min,33.09 km,112 min,29.47 km,91 min
言BOOKS书店,https://www.dianping.com/shop/G6n2h5hEE6rWbfxM,青年西路青年路西里5号院8号楼1层101内0305号,[北京],"116.514982,39.926064",15311819415,2019/10/3 10:35,31.14 km,66 min,33.14 km,114 min,29.53 km,93 min
TIAGO HOME KITCHEN,https://www.dianping.com/shop/k8axulbnWp0qMQby,王府井大街269号王府中环东座4层411b,[北京],"116.409326,39.912564",85179177,2019/10/2 12:46,20.77 km,46 min,23.24 km,89 min,19.66 km,69 min
紫云轩,https://www.dianping.com/shop/H2sZShQInsG2U2Lr,顺白路何各庄318国际艺术园,[北京],"116.498131,40.039700",13601137132,2019/10/2 12:44,22.40 km,45 min,24.40 km,88 min,20.79 km,70 min
LES MORILLES樂·墨瑞,https://www.dianping.com/shop/k3fFH2HheBakU1uq,麦子店西街37号盛福大厦一层,[北京],"116.464867,39.946909",65063110,2019/10/1 15:19,22.80 km,40 min,25.27 km,85 min,21.70 km,65 min
沃夫冈牛排馆Wolfgang’s Steakhouse,https://www.dianping.com/shop/k7E6uNvgkc3J1hcs,工体北路甲2号盈科中心西南侧捌坊一层,[北京],"116.458433,39.932130",65924946,2019/10/1 15:16,23.25 km,44 min,25.72 km,93 min,22.14 km,73 min
Tavola Italian Dining,https://www.dianping.com/shop/l32XAVAxCHClpUWK,东方东路19号亮马桥外交公寓官舍北区二层,[北京],"116.463936,39.951686",85325068,2019/10/1 15:14,21.46 km,39 min,23.93 km,81 min,20.35 km,64 min
The Georg,https://www.dianping.com/shop/H1VxDTW6es76OBCP,东华门大街95号,[北京],"116.402598,39.915373",18618337710,2019/10/1 13:54,19.98 km,43 min,22.97 km,85 min,19.39 km,65 min
蔡澜点心,https://www.dianping.com/shop/l6BGXWzZlAinVkBF,西直门外大街1号凯德MALL01-47、02-42、02-43号铺,[北京],"116.353179,39.941566",58302058,2019/9/30 17:00,17.48 km,27 min,18.21 km,65 min,13.09 km,46 min
Opera Bombana,https://www.dianping.com/shop/ilSl6fhaKxVKsgAK,东大桥路9号侨福芳草地购物中心LG2-21（近东大桥地铁站）,[北京],"116.452523,39.921387",13811076551,2019/9/30 16:44,24.07 km,47 min,26.54 km,108 min,22.97 km,82 min
曲廊院,https://www.dianping.com/shop/H2R0vlF69ryIjaax,东四十一条25号,[北京],"116.424455,39.934478",84038229,2019/9/30 16:37,19.90 km,44 min,22.37 km,87 min,18.79 km,65 min
和木The Home·私厨,https://www.dianping.com/shop/H85eENvx7Md5n5zw,钟楼湾胡同钟鼓楼广场旁,[北京],"116.395885,39.941596",18201699951,2019/9/30 16:34,17.21 km,34 min,19.68 km,68 min,16.10 km,51 min
山姆会员商店,https://www.dianping.com/shop/H9AgMyhowfiV2mst,安平街5号院2号楼1-2号,[北京],"116.295064,39.834548",58251066,2019/9/30 15:49,26.80 km,37 min,29.50 km,85 min,27.43 km,67 min
聚德楼饭庄,https://www.dianping.com/shop/k1cKqNxd7iicyX2H,东三环南路乙52号顺迈金钻国际商务中心南侧底商（宝岛眼镜旁）,[北京],"116.462228,39.887279",67770633,2019/9/29 22:53,28.62 km,59 min,31.09 km,110 min,27.52 km,93 min
北京金融街丽思卡尔顿酒店·意味轩 Cepe,https://www.dianping.com/shop/k1dROlORP61HU25v,金城坊东街1号金融街丽思卡尔顿酒店一层,[北京],"116.363149,39.915295",66296996,2019/9/29 18:53,20.33 km,36 min,22.11 km,80 min,16.71 km,62 min
王府井文华东方酒店·MO Bar,https://www.dianping.com/shop/l5QEsFi3hE77xiRk,王府井大街269号北京王府井文华东方酒店五层,[北京],"116.410063,39.912598",85098850,2019/9/29 18:36,20.77 km,46 min,23.24 km,89 min,19.66 km,69 min
荒芜与荆棘古着俱乐部,https://www.dianping.com/shop/G8oxFtRXsx6lyKL9,辛安里胡同8号2楼,[北京],"116.397433,39.938528",18601126023,2019/9/28 1:58,17.61 km,37 min,20.09 km,74 min,16.51 km,57 min
山雀PARUS·和牛餐厅,https://www.dianping.com/shop/k4RKPOdB2hB6k4UN,酒仙桥路798艺术区西街02号拾萬空间,[北京],"116.493690,39.985270",18515884798,2019/9/28 0:16,22.11 km,48 min,25.26 km,104 min,21.64 km,83 min
绿叶子,https://www.dianping.com/shop/l2E5MY5FJGpNj2mI,幸福一村甲5号联宝公寓1楼,[北京],"116.445294,39.936266",64177970,2019/9/22 3:40,27.78 km,44 min,25.32 km,85 min,21.75 km,67 min
都士牧人风干牛肉干,https://www.dianping.com/shop/k8rvm2lL0f3TEYS0,望京街9号商业楼01层104,[北京],"116.349285,40.088965",59203235,2019/9/22 3:31,11.94 km,31 min,11.21 km,41 min,12.31 km,40 min
白纸坊美式炸鸡,https://www.dianping.com/shop/lafuMM4APjTLSogJ,白纸坊街道白纸坊西街1号(东侧平房),[北京],"116.362358,39.878299",63553988,2019/9/19 22:17,24.56 km,43 min,25.84 km,91 min,20.71 km,74 min
三泉冷面,https://www.dianping.com/shop/j6TKqCR2d4cQZ1wk,阜通西大街望京东园一区120号新荟城4层,[北京],"116.480122,40.001123",16710080997,2019/9/19 22:15,19.48 km,40 min,21.48 km,80 min,17.87 km,61 min
阿公阿嬷酒菜处·台湾菜,https://www.dianping.com/shop/G67rMnm9RefNXxz5,将台路甲2号金尚丽SHANG底商101室,[北京],"116.481253,39.977328",84330021,2019/9/19 22:13,24.56 km,42 min,25.30 km,99 min,21.69 km,79 min
全牛匠·乐山跷脚牛肉,https://www.dianping.com/shop/G1oHdGYALme8dRmh,阜安西路合生·麒麟社11号楼1层108室,[北京],"116.477519,39.996732",13126992460,2019/9/19 14:40,20.16 km,42 min,22.16 km,83 min,18.55 km,66 min
TINY,https://www.dianping.com/shop/G5edhF9r5Opq5nul,新东路新源里西19号格纳斯大厦底商103号,[北京],"116.449263,39.949224",13466658361,2019/9/19 14:38,26.18 km,39 min,23.72 km,78 min,20.15 km,61 min
绿叶子超市,https://www.dianping.com/shop/l7dG8BvFmKw5wvi9,盈科中心B1,[北京],"116.458959,39.933001",65390660,2019/9/19 13:12,23.70 km,46 min,26.17 km,96 min,22.60 km,76 min
稻谷DULTON,https://www.dianping.com/shop/k29zNpdvXqQHyhwk,酒仙桥街道北京798艺术区B区B01楼（797路与707街交汇处）,[北京],"116.493493,39.986224",59784828,2019/9/18 14:14,22.00 km,47 min,25.15 km,102 min,21.54 km,82 min
五进制 Coffee Shop,https://www.dianping.com/shop/k5gQhE0oLVUE0ELs,后海南沿一号,[北京],"116.386374,39.940288",13701241930,2019/9/17 20:21,17.75 km,35 min,20.22 km,69 min,16.64 km,50 min
METAL HANDS,https://www.dianping.com/shop/G9WdH0eiyg2pH6dq,五道营胡同61号、65号（近安定门）,[北京],"116.407806,39.949892",15510533895,2019/9/17 20:21,17.85 km,34 min,20.32 km,74 min,16.74 km,50 min
小街1号,https://www.dianping.com/shop/G7HH3fsibcSSQEFZ,三里屯北小街一号北京外交人员语言文化中心对面,[北京],"116.452596,39.943087",84540064,2019/9/17 20:21,22.88 km,41 min,25.35 km,84 min,21.78 km,67 min
Nina,https://www.dianping.com/shop/G61Qh9g4cfrEj7lK,北锣鼓巷66号,[北京],"116.402712,39.943888",17611016725,2019/9/17 20:20,17.53 km,35 min,20.00 km,68 min,16.42 km,52 min
飛鳥製茶,https://www.dianping.com/shop/G4DSxsjn4XiqJEX3,三里屯路33号3·3大厦B1-006,[北京],"116.454506,39.938881",18518406633,2019/9/17 20:17,23.02 km,42 min,25.50 km,86 min,21.92 km,68 min
麦客天成德国面包房,https://www.dianping.com/shop/la2t45D2CsuM8Ey3,崔各庄地区来广营东路8-1号(近京西国际学校),[北京],"116.513294,40.023818",13011000501,2019/9/17 9:05,24.30 km,49 min,26.30 km,94 min,22.69 km,76 min
北27號·廿七禾尚,https://www.dianping.com/shop/G9D2P4hH2jlysaAm,三里屯北街81号1层北侧,[北京],"116.455149,39.936210",13091385027,2019/9/17 8:40,23.57 km,45 min,26.04 km,93 min,22.46 km,73 min
秋栗香,https://www.dianping.com/shop/k1iWM7eT7JYiRfi1,地安门西大街2号-1号,[北京],"116.395824,39.933198",64016838,2019/9/16 23:07,17.84 km,34 min,20.32 km,73 min,16.74 km,53 min
奶酪魏,https://www.dianping.com/shop/l3hLA6JNkgljWLPf,广安门内大街202号107室,[北京],"116.362312,39.888902",63522402,2019/9/16 23:05,23.59 km,44 min,25.95 km,86 min,20.82 km,71 min
清真·伊宝荷叶甑糕,https://www.dianping.com/shop/jvdJ7gcKZvFHV17E,牛街5号,[北京],"116.363297,39.887108",13910907132,2019/9/16 23:04,23.90 km,44 min,24.74 km,87 min,19.62 km,70 min
oh! by FINE cafe&canteen,https://www.dianping.com/shop/G7WHSOdA9pBD4h79,地安门外大街16号,[北京],"116.396126,39.939844",13146932977,2019/9/16 20:43,17.73 km,37 min,20.20 km,76 min,16.63 km,57 min
新荣记,https://www.dianping.com/shop/l8lgn63PZm7sWEjw,金融大街11号(北京国际金融中心)B1楼,[北京],"116.357892,39.919290",66180567,2019/9/16 0:56,18.86 km,35 min,21.09 km,75 min,15.97 km,60 min
老胡灌饼,https://www.dianping.com/shop/k8uUmdItQmn2p0Fj,安翔路音乐学院南门东200米路北,[北京],,13121110565,2019/9/16 0:33,15.49 km,25 min,13.68 km,57 min,10.07 km,36 min
永顺炸鸡店,https://www.dianping.com/shop/G2y6wYiCEwOO5Cvo,十里堡北区18号院1号楼A1-10,[北京],"116.503821,39.929414",13582305091,2019/9/16 0:09,29.52 km,61 min,30.27 km,113 min,26.65 km,95 min
新桥炸鸡店,https://www.dianping.com/shop/H3e7I6M4ixVK0DPZ,大峪街道新桥大街78-1号(京客隆超市北20米一层底商),[门头沟区],"116.103749,39.937872",61802818,2019/9/16 0:08,,,,,,
左家庄香盟炸鸡,https://www.dianping.com/shop/E4DzxJjmklGQz0mE,左家庄前街1号,[北京],"116.443906,39.953490",13161550078,2019/9/16 0:08,25.90 km,38 min,23.45 km,76 min,19.87 km,59 min
大益烤鸡,https://www.dianping.com/shop/k1AqW5GO9qVWKhdx,牛街春风小区圆意轩餐厅内(春风小区5号楼对面甲一号),[北京],"116.366222,39.884750",13001062328,2019/9/15 23:58,24.57 km,44 min,25.62 km,89 min,20.50 km,73 min
凯宾美食廊Kempi Deli·凯宾斯基饭店,https://www.dianping.com/shop/H4Un4jnZCo5RjV2A,亮马桥路50号北京凯宾斯基饭店一层,[北京],"116.463771,39.949723",64104227,2019/9/15 23:49,21.25 km,38 min,23.72 km,80 min,20.14 km,63 min
席上喳喳,https://www.dianping.com/shop/k4inO4J2okVfiFwJ,西兴隆街108号,[北京],"116.407626,39.897305",67022347,2019/9/15 13:52,1916.77 km,1236 min,1922.86 km,1303 min,1917.40 km,1284 min
SP_CE cafe&lounge,https://www.dianping.com/shop/H8K2LQZ1MiYM14B0,上环普庆坊20号地下,[香港],"114.152452,22.281798",-96226219,2019/9/15 13:11,,,,,,
意块披萨PIZZA SAPORITA,https://www.dianping.com/shop/G4lWMYeVPzlktPpH,十字坡街8号 铂晶豪庭1层112-115室,[北京],"116.439369,39.938719",64130991,2019/9/14 17:34,21.25 km,39 min,23.72 km,91 min,20.15 km,60 min
蘭心餐厅,https://www.dianping.com/shop/l4tAieMmQdQiuHLA,进贤路130号,[上海],"121.459893,31.221669",62533554,2019/9/14 12:25,,,,,,
清真·金宏兴鸭子店,https://www.dianping.com/shop/k3e5iX04hEtAooFl,朝天宫街道明瓦廊5号105室(近三元巷),[南京],"118.781850,32.033961",84463872,2019/9/14 12:24,,,,,,
Bob’s select酒,https://www.dianping.com/shop/l8xZXEikHFoacXdV,新东路8号院3号楼一层1-008,[北京],"116.450940,39.938998",13811886146,2019/9/13 18:22,23.43 km,45 min,25.90 km,89 min,22.32 km,70 min
三五堂·新国贸饭店·自助餐,https://www.dianping.com/shop/l6z4wToev77cvsIH,建国门外大街新国贸饭店2层,[北京],"116.460167,39.913155",86471035,2019/9/13 14:41,25.48 km,54 min,27.96 km,102 min,24.38 km,83 min
老四烧饼铺,https://www.dianping.com/shop/k94UeXUwtIdyS4ZQ,西三环丽源路56号院(渔公渔婆北侧胡同内),[北京],"116.315128,39.873986",13522467187,2019/9/12 21:59,26.27 km,39 min,28.97 km,86 min,26.90 km,69 min
第六季自助餐厅,https://www.dianping.com/shop/H9VWkEfBpgMcCypQ,甜水园街甜水园北里16号楼一层1-11号,[北京],"116.479210,39.928714",65015827,2019/9/12 21:54,30.58 km,55 min,31.32 km,106 min,27.71 km,92 min
宣南居,https://www.dianping.com/shop/k8oJwmjGI7oeB6ED,太平桥路华源四里一号楼,[北京],"116.320138,39.882112",63380833,2019/9/12 21:51,20.38 km,38 min,23.08 km,85 min,21.01 km,66 min
助平,https://www.dianping.com/shop/H9pTV2C3Z6CvdROR,麦子店街道天泽路华远九都汇北门地下一层,[北京],"116.465793,39.956846",13581536793,2019/9/12 18:44,25.45 km,41 min,26.20 km,96 min,22.59 km,77 min
松子料理,https://www.dianping.com/shop/G9jRd8WdwmX0kfjK,阜安西路合生·麒麟社11号楼2层,[北京],"116.477583,39.996859",57389962,2019/9/12 12:10,19.98 km,41 min,21.98 km,82 min,18.37 km,64 min
This is C5cafe,https://www.dianping.com/shop/k3aREbX0xNAPx6DB,三里屯街道三里屯西五街5号院F座,[北京],"116.453886,39.943221",13720018013,2019/9/12 11:49,22.86 km,41 min,25.34 km,85 min,21.76 km,66 min
梧桐咖啡Phoenix Café,https://www.dianping.com/shop/Ha6FPJSpFwTXhljT,五道营胡同63号（雍和宫地铁站E西北口步行340米）,[北京],"116.417359,39.947978",18601208175,2019/9/12 11:48,17.84 km,34 min,20.31 km,74 min,16.74 km,50 min
昌顺马记小吃店,https://www.dianping.com/shop/k4qvY1rycZFBJaD5,龙水路昌盛园2区临街商铺,[北京],"116.257286,40.210689",18511665587,2019/9/10 20:41,26.91 km,40 min,24.63 km,42 min,27.28 km,49 min
第六季自助餐厅,https://www.dianping.com/shop/Gal9XcTwxoOi24CH,东安门大街55号王府世纪一层105-106号（王府世纪西北侧）,[北京],"116.407565,39.915887",65241488,2019/9/10 20:37,20.34 km,44 min,22.81 km,89 min,19.23 km,68 min
布乐奶酪坊,https://www.dianping.com/shop/G4rFM0VkrHKjZSzZ,霍营街道新都东路SOCO公社瑞旗家园30号楼底商113(近地铁在霍营站G4出口),[北京],"116.362896,40.068901",81741861,2019/9/10 20:34,8.58 km,29 min,7.91 km,42 min,8.33 km,39 min
九月上DE PLUS COFFEE,https://www.dianping.com/shop/G82SSEufXxduEwEW,悠乐汇写字楼D座商业3层357（外部观光电梯）,[北京],,64796551,2019/9/10 14:55,22.88 km,48 min,24.88 km,91 min,21.27 km,71 min
酒肴一瓢·活贝料理·日本料理,https://www.dianping.com/shop/k9jwWxQ1WMU3SzVa,霄云路15号霄云美食街后街24门,[北京],"116.464336,39.960494",13718351965,2019/9/10 13:23,24.98 km,40 min,25.73 km,95 min,22.11 km,76 min
牛街清真食品超市,https://www.dianping.com/shop/G5x3cRDgh2E4xMVa,牛街5号,[北京],"116.363297,39.887108",63556687,2019/9/8 22:52,23.90 km,45 min,24.74 km,87 min,19.62 km,71 min
清真·白记年糕,https://www.dianping.com/shop/k7ITJDZIdmFhgkFn,牛街街道牛街5号牛街清真超市1楼(近输入胡同),[北京],"116.364788,39.886484",13801383675,2019/9/8 22:45,23.88 km,44 min,24.73 km,87 min,19.60 km,71 min
黑窑厂糖油饼羊蝎子,https://www.dianping.com/shop/l4dFausNc4mBiw6t,黑窑厂街四平园3号楼9单元一层,[北京],"116.381528,39.881406",13051841384,2019/9/8 22:43,28.20 km,47 min,26.01 km,103 min,22.43 km,77 min
瑞兰美好生活沙茶面,https://www.dianping.com/shop/l7dT1vBaGiKTeTj9,中山北路57-9号,[泉州],"118.463207,24.715394",,2019/9/8 22:35,,,,,,
田府聚源脆皮烤鸭,https://www.dianping.com/shop/l6rjJ5OBlOzZMpkK,酒仙桥佳美公寓（酒仙桥南路南）,[北京],"116.533359,39.841276",15901377738,2019/9/8 22:11,26.23 km,50 min,26.97 km,109 min,23.36 km,88 min
老地方麻辣烫,https://www.dianping.com/shop/G281oEUQA0mhR5fX,康化路景苑公寓北侧约70米,[北京],"116.532559,39.842554",13439729099,2019/9/8 21:36,41.56 km,75 min,43.57 km,136 min,39.95 km,112 min
前门张记涮肉店,https://www.dianping.com/shop/laSGIpCWLcISMKpw,前门煤市街95号,[北京],"116.398353,39.900558",15910629591,2019/9/8 21:22,25.52 km,46 min,24.74 km,94 min,21.45 km,77 min
贰重天冰煮羊自助火锅,https://www.dianping.com/shop/G8qXJChrh88D9p0V,"驹子房路朝新嘉园东里五区18号楼（杂堆儿私房牛杂煲楼上,于记焖锅旁边）",[北京],"116.557456,39.952877",,2019/9/8 20:24,28.92 km,65 min,30.92 km,108 min,27.31 km,86 min
老徐烧烤涮肚,https://www.dianping.com/shop/k8n3fpSB9QbLsNd9,交道口南大街49号,[北京],"116.408464,39.937882",13520682198,2019/9/8 17:21,18.69 km,35 min,21.16 km,75 min,17.58 km,53 min
永盛斋小吃,https://www.dianping.com/shop/G8CMO59eoufOWCXU,骑河楼大街40号,[北京],"116.405079,39.919793",13681516914,2019/9/8 17:17,19.88 km,42 min,22.35 km,84 min,18.78 km,64 min
咂摸,https://www.dianping.com/shop/l9YCRrxVrD0XMAiR,南锣鼓巷106号院,[北京],"116.403230,39.935225",18335798592,2019/9/8 17:11,17.01 km,33 min,19.48 km,70 min,15.90 km,52 min
望京小腰,https://www.dianping.com/shop/EJK2aAof5IkkfHgf,广顺南大街悠乐汇A区A座610号楼1层110号,[北京],"116.477193,39.989280",15901329737,2019/9/7 21:36,23.00 km,48 min,25.00 km,91 min,21.39 km,72 min
